p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,group
7.517991509234245e-86,0.7428065804859258,0.608,0.385,1.6012570115518018e-81,1,SERPINF1,all
2.1086643006967057e-85,1.3775617225794725,0.276,0.112,4.491244094053914e-81,1,MMP23B,all
1.711931713149789e-83,0.5381207182253194,0.889,0.77,3.6462433558377355e-79,1,CYBA,all
4.095529374999628e-83,0.8900174824242644,0.448,0.236,8.723068015811708e-79,1,MXD4,all
5.2438056751743335e-82,0.6911651007324409,0.784,0.619,1.1168781707553812e-77,1,IGFBP6,all
1.4972011798373532e-81,0.26171986651248424,0.998,0.98,3.1888887929355787e-77,1,OST4,all
1.6681725755772773e-81,0.5938129936407828,0.982,0.946,3.5530407687220434e-77,1,PTX3,all
2.3604501219678867e-81,0.35499457847520377,0.979,0.94,5.027522714779402e-77,1,OSTC,all
4.568810187385662e-81,0.48841903025448263,0.885,0.751,9.731108818112722e-77,1,FOS,all
7.938298783943099e-80,0.4179791084979503,0.943,0.851,1.6907782579920406e-75,1,ITM2B,all
7.624922288261505e-79,0.6030292282366858,0.809,0.648,1.624032198176818e-74,1,EFEMP1,all
1.898844722652316e-78,0.6120292886354541,0.783,0.613,4.044349374777168e-74,1,HERPUD1,all
2.177536069868591e-78,0.6289724870193887,0.822,0.681,4.637934075213112e-74,1,LRRC17,all
2.7477819568964422e-77,0.40449183339636385,0.939,0.857,5.852500789993733e-73,1,CST3,all
5.878560588414524e-76,0.4851002685622321,0.926,0.821,1.2520746197264094e-71,1,CCN2,all
6.580649279252254e-76,0.5401604566547399,0.828,0.674,1.4016124899879376e-71,1,SLC1A5,all
8.917089237458301e-76,0.6907851491364039,0.652,0.455,1.8992508366862436e-71,1,WARS1,all
2.9103811869424533e-74,0.9391658303288308,0.4,0.211,6.198820890068731e-70,1,WIPI1,all
8.125303185596798e-72,0.5053606831048988,0.846,0.714,1.730608325500262e-67,1,IFI27L2,all
9.450669273361143e-70,1.0631797315065747,0.284,0.128,2.01289804853319e-65,1,ITGA11,all
7.398925779763661e-69,0.9305135850930737,0.416,0.231,1.575897201831862e-64,1,TRIB3,all
2.378707593342593e-68,1.5051504075497335,0.181,0.064,5.066409303060388e-64,1,FBLN2,all
1.336347371254682e-66,0.78027107804138,0.535,0.343,2.8462862660353474e-62,1,IL1R1,all
4.0070483181985016e-66,1.2338929697777983,0.279,0.13,8.534612212930988e-62,1,CPA4,all
8.410263344372797e-66,1.868843947661198,0.123,0.034,1.791301989717962e-61,1,CLIC3,all
1.4868029958252292e-65,1.1366939437104369,0.226,0.092,3.1667417008081554e-61,1,C1S,all
4.6506673112997585e-65,1.2204784243259224,0.285,0.135,9.905456306337355e-61,1,GDF15,all
2.9806193860430182e-64,0.4782629643694598,0.946,0.88,6.348421230333024e-60,1,TPM1,all
1.6718290218179013e-63,0.43005878073292747,0.869,0.755,3.560828633569948e-59,1,COMT,all
1.7856967639969538e-63,0.38304402694240536,0.932,0.844,3.803355537637112e-59,1,RABAC1,all
8.320929612006882e-63,1.3544530409124915,0.171,0.061,1.7722747980613457e-58,1,STRA6,all
3.2639346506419817e-62,0.33546244104832734,0.966,0.929,6.951854412402356e-58,1,KRT8,all
4.879581769434744e-62,1.0790486342431886,0.271,0.127,1.039302121071906e-57,1,EPAS1,all
6.037821046596918e-62,0.6388838358589954,0.864,0.738,1.2859955047146776e-57,1,SERPINE1,all
7.220927546303742e-62,1.9286729481538982,0.118,0.033,1.5379853580872341e-57,1,NDUFA4L2,all
9.273747226943452e-62,0.4940399108092046,0.83,0.702,1.9752154218666858e-57,1,IGFBP4,all
1.0583488620067206e-61,1.3081101402649353,0.206,0.083,2.2541772411881144e-57,1,CTH,all
1.096395981552163e-61,1.616437983179456,0.141,0.045,2.3352138011079518e-57,1,VSIR,all
8.039776137802568e-61,0.867483444724712,0.393,0.22,1.712391919590569e-56,1,FIBIN,all
9.50478662669369e-59,0.8572164215110538,0.329,0.168,2.0244245036194892e-54,1,MIR22HG,all
1.8817807082508197e-58,1.6768566646266017,0.12,0.036,4.008004730503421e-54,1,LRATD2,all
1.3521475520663955e-57,1.2496904537545068,0.227,0.101,2.8799390711462156e-53,1,XAF1,all
1.4016323996137137e-57,0.5646931134871694,0.635,0.446,2.9853368479372487e-53,1,RBP1,all
1.8411507199546362e-57,0.35884771222393574,0.93,0.864,3.9214669184313796e-53,1,CALD1,all
4.3260690812580996e-57,0.6201868194473956,0.926,0.858,9.214094536171626e-53,1,S100A4,all
4.538767090689402e-57,0.44831764712295497,0.826,0.699,9.667120026459357e-53,1,SARS1,all
7.438885872265762e-57,0.9201856173218047,0.343,0.185,1.5844083019338845e-52,1,BHLHE40,all
